chart_or_figure_id,title,question,axes_and_layout,marks_and_colors,uncertainty,takeaway,caveat
task_figure,Experiment schematic,What happened on each trial and how are trials nested?,Left-to-right task stages and dataset counts,Pastel boxes are trial phases; arrows indicate order,No uncertainty is shown,The analysis preserves run-level temporal order,"This is a redraw from the paper's methods, not original artwork"
behavior_stimulus_figure,Responses relative to the stimulus,How tightly did reports cluster around the true direction?,Columns are prior widths; rows are coherence; x is response minus stimulus,Blue lines are observed proportions; zero marks the stimulus,Descriptive histograms,Higher coherence produces narrower stimulus-centered responses,Distribution shape alone does not identify latent states
behavior_prior_figure,Responses relative to the prior,How strongly did reports cluster around the learned prior?,Columns are prior widths; rows are coherence; x is response minus prior,Blue lines are observed proportions; zero marks the prior,Descriptive histograms,Narrow priors and weak sensory evidence increase prior-centered responses,Prior-centered responses need not imply deliberate prior choice
cv_chart,Absolute held-out performance,Which model best predicts unseen run sequences?,Y lists models; x is mean held-out LL/trial,Longer bars toward zero are better,Fold standard errors appear in the publication figure,Covariate HMM is best at -0.8133 LL/trial,Absolute LL values depend on response-density units; compare models on the same trials
delta_chart,Paired model differences,How much does each model improve on independent Switching?,X is the paired per-trial log-likelihood difference; zero means no advantage,Positive marks favor the comparison model,95% sequence-bootstrap intervals are in the exact table,Static HMM density ratio 1.064; covariate HMM ratio 1.096,A density ratio is not classification accuracy
transition_chart,Static HMM transition matrix,Do inferred states persist across adjacent trials?,Rows are previous state; columns are next state,Darker cells indicate larger transition probabilities,Point estimates from the final all-data fit,Sensory self-transition 0.937; prior self-transition 0.964,"States are inferred computational labels, not directly observed mental states"
emission_chart,Emission concentration,Do fitted state labels behave as sensory and prior states should?,X lists coherence/prior-width conditions; y is von Mises concentration,Blue is sensory; orange is prior,Point estimates from the final static HMM,Sensory precision rises with coherence and prior precision falls with prior width,Concentration is not a probability and should be translated to circular spread
occupancy_figure,Posterior occupancy and representative sequence,"When are sensory, prior, and lapse states inferred?",Condition panels show posterior state probability; sequence panel follows trials,State colors encode posterior probabilities,Posterior probabilities condition on the fitted model,"Occupancy changes with coherence, prior width, and conflict and forms temporal runs","The representative sequence is selected deterministically, not as the strongest example"
subject_chart,Subject-level persistence,Is persistence only a group-average artifact?,X is subject; y is self-transition probability,Filled points are self-transitions; open points in the publication figure are stationary baselines,Separate 25-restart fits per subject,Mean sensory=0.867; prior=0.839,"Separate fits are empirical-Bayes summaries, not a hierarchical posterior"
serial_figure,Serial-dependence controls,Can attraction to only the previous trial explain the HMM advantage?,Model differences and fitted one-back attraction coefficients,Intervals crossing zero indicate unstable predictive improvement,Paired sequence-bootstrap intervals,One-back baselines are essentially tied with independent Switching,Small fitted coefficients do not rule out every possible history effect
covariate_chart,Covariate transition effects,Which conditions change state persistence?,Y lists covariate/state pairs; x is probability at +1 SD minus -1 SD,Right increases staying; left decreases staying,Conditional sequence-bootstrap intervals,Largest contrast: prior_precision for L_lapse = 0.309,Associations condition on fitted responsibilities and are not causal effects
ppc_chart,PPC condition metrics,Do the static and covariate HMMs reproduce observed condition summaries?,Rows separate models; columns show metrics; x is the coherence/prior-width cell,Observed points are compared with simulated means and percentile intervals,95% intervals across 100 complete simulations per model,Covariate-dependent HMM: 19/60 cells covered; Static Hidden Markov Switching Observer: 2/60 cells covered,"Coverage is an absolute calibration diagnostic, not a formal hypothesis-test decision"
ppc_static_stimulus_figure,Static-HMM distributions relative to stimulus,Does the static HMM reproduce complete response shapes around the stimulus?,A 3 by 4 grid crosses coherence and prior width,Blue is observed; orange is simulated; bands are simulation intervals,95% intervals across 100 complete simulations per model,Shows where the static HMM captures or misses stimulus-centered shape,Visual agreement in one cell does not imply condition-wide adequacy
ppc_static_prior_figure,Static-HMM distributions relative to prior,Does the static HMM reproduce complete response shapes around the prior?,A 3 by 4 grid crosses coherence and prior width,Blue is observed; orange is simulated; bands are simulation intervals,95% intervals across 100 complete simulations per model,Shows condition-specific static-HMM prior-centered shape calibration,Histogram agreement is complementary to the five metric coverage tests
ppc_covariate_stimulus_figure,Covariate-HMM distributions relative to stimulus,Does covariate-dependent switching improve stimulus-centered response-shape calibration?,A 3 by 4 grid crosses coherence and prior width,Blue is observed; orange is simulated; bands are simulation intervals,95% intervals across 100 complete simulations per model,Directly checks the final covariate HMM under the observed design,Improvement over the static HMM does not by itself establish absolute adequacy
ppc_covariate_prior_figure,Covariate-HMM distributions relative to prior,Does the covariate HMM reproduce prior-centered response shapes?,A 3 by 4 grid crosses coherence and prior width,Blue is observed; orange is simulated; bands are simulation intervals,95% intervals across 100 complete simulations per model,Shows where dynamic transitions do or do not repair prior-centered mismatch,"Transition covariates are conditional predictors, not causal manipulations"
run_chart,State run-length calibration,Does each HMM reproduce its own inferred temporal persistence after simulation?,Panels separate models; x is state; y is mean run length in trials,Observed smoothed marginal-MAP runs are compared with simulated latent-state runs,95% intervals across 100 complete simulations per model,Each model is calibrated against its own observed posterior state summary,"Marginal-MAP sequences are forward-backward summaries, not Viterbi paths or observed ground truth"
